id,genres,name,platforms,rating,companies,release_date
7194,"Adventure, Visual Novel",Steins;Gate,"PC (Microsoft Windows), PlayStation 3, Xbox 360, Android, PlayStation Portable, iOS, PlayStation Vita, PlayStation 4",94.24775714256529,"5pb., JAST USA, PQube, MAGES., Kadokawa Shoten, NITRO PLUS",2009-10-15
279659,"Shooter, Tactical",The Finals: Season 1,"PC (Microsoft Windows), PlayStation 5, Xbox Series X|S",94.0,Embark Studios,2023-12-08
1780,"Shooter, Platform, Adventure",Mega Man ZX Advent,Nintendo DS,93.99525483208272,"Inti Creates, Capcom",2007-07-12
14647,"Role-playing (RPG), Adventure",Bloodborne: The Old Hunters,PlayStation 4,93.96646873254119,"FromSoftware, Sony Computer Entertainment",2015-11-24
84197,"Adventure, Indie",Faith,"PC (Microsoft Windows), Nintendo Switch",93.87854474605265,Airdorf Games,2017-10-03
120710,"Point-and-click, Adventure, Indie",The Henry Stickmin Collection,"PC (Microsoft Windows), Mac",93.78064203780228,"PuffballsUnited, Innersloth",2020-08-07
12151,"Simulator, Adventure, Visual Novel",Kindred Spirits on the Roof,"Linux, PC (Microsoft Windows), Mac",93.695977798099,"MangaGamer, Liar-soft",2016-02-12
22066,Adventure,Silent Hill 2: Restless Dreams,"PC (Microsoft Windows), PlayStation 2, Xbox",93.63621808219548,"Team Silent, Konami, Creature Labs",2001-12-19
31,"Point-and-click, Adventure",Space Quest IV: Roger Wilco and the Time Rippers,"PC (Microsoft Windows), DOS, Mac, Amiga",93.62632456865191,Sierra On-Line,1991-01-01
126098,"Shooter, Puzzle, Adventure",Half-Life: Alyx,"Windows Mixed Reality, SteamVR, Oculus Rift",93.57844972525184,Valve,2020-03-23
141540,"Role-playing (RPG), Adventure, Indie",Disco Elysium: The Final Cut,"PC (Microsoft Windows), Mac, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S, Google Stadia",93.34018376231847,ZA/UM,2021-03-30
145327,Simulator,Town Star,Web browser,93.31641285956007,Gala Games,2020-02-26
18928,Role-playing (RPG),The Legend of Sword and Fairy,"PC (Microsoft Windows), DOS, Sega Saturn",93.3137721118778,Softstar,1995-07-07
135999,"Music, Puzzle, Indie, Arcade",Tetris Effect: Connected,"PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S, Oculus Quest, Meta Quest 2, PlayStation VR2",93.03934762702465,"Monstars, Resonair, Stage Games, Enhance",2020-05-14
77537,"Music, Simulator",KORG Gadget,Nintendo Switch,93.0,Detune,2018-04-26
79341,Strategy,Super Robot Taisen W,Nintendo DS,93.0,Banpresto,2007-03-01
86647,"Shooter, Arcade",Samurai Aces for Nintendo Switch,Nintendo Switch,93.0,ZeroDiv,2018-02-15
110062,"Racing, Sport, Arcade",Sega Ages Virtua Racing,Nintendo Switch,93.0,"M2, Sega, Sega of America, Sega Europe, Sega Games",2019-04-25
78059,"Racing, Simulator, Strategy, Adventure",Of Mice and Sand: Revised,"PC (Microsoft Windows), PlayStation 4, Nintendo Switch",93.0,Arc System Works,2017-12-21
80236,Platform,Giana Sisters DS,Nintendo DS,93.0,"DTP Entertainment, Bitfield, Destineer",2009-04-03
26981,Role-playing (RPG),Final Fantasy: Record Keeper,"PC (Microsoft Windows), Android, iOS",92.94724894029153,"Mobage, Square Enix Business Division 4",2014-09-24
8973,"Simulator, Sport, Strategy",Football Manager 2012,"PC (Microsoft Windows), Mac",92.87563803519473,"Sega, Sports Interactive",2011-10-21
19560,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",God of War,"PC (Microsoft Windows), PlayStation 4",92.67797530572375,"Sony Interactive Entertainment, SIE Santa Monica Studio, Jetpack Interactive",2018-04-20
12503,"Role-playing (RPG), Adventure",The Witcher 3: Wild Hunt - Hearts of Stone,"PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S",92.66696772435814,CD Projekt RED,2015-10-12
